pc1,pc2,cluster,cluster_label
2.312877414472441,0.18577012046149738,2,advanced adopters
2.7260060758256706,1.300150565105652,2,advanced adopters
0.8888261999949255,0.1608244224997715,1,connected but engaged
0.23887580428795413,0.33881048493663596,1,connected but engaged
1.1546397831329596,0.8968200233694357,1,connected but engaged
1.9906978888110924,1.2812938246874213,1,connected but engaged
-1.9611263162335932,0.1590254267898554,0,Digitally excluded
-2.491414175928809,-0.40813418894424597,0,Digitally excluded
-1.7129233151452714,-1.5302633543344348,0,Digitally excluded
4.838042970854442,-0.5897198790910897,2,advanced adopters
-0.2101049785682693,-0.814138151319837,0,Digitally excluded
0.5624057779530466,0.5512092351740676,1,connected but engaged
1.2107844117919453,0.9478325364054837,1,connected but engaged
-0.40819716052363825,0.9028916519469871,1,connected but engaged
-2.217777686492387,-1.290578701609175,0,Digitally excluded
-0.30835961987375604,1.5550874024533436,1,connected but engaged
-2.764702960564426,1.114300970168868,0,Digitally excluded
0.6007966591825511,-3.1594843481585717,1,connected but engaged
0.11714335800388262,-0.9900755198696125,1,connected but engaged
2.4463772854575314,0.2513116241911706,2,advanced adopters
1.972136729138985,0.38423506443984445,1,connected but engaged
-1.0342603899948775,-0.8121548932986726,0,Digitally excluded
4.550930231591353,-0.46373493224064666,2,advanced adopters
-2.3492175452585786,0.25816352180183166,0,Digitally excluded
-0.2838447269185482,1.9877030494875696,1,connected but engaged
1.9498333442008953,0.4797770148950626,1,connected but engaged
-1.670915343087061,-0.3931523704069916,0,Digitally excluded
-1.9541207836238765,0.8321912476263587,0,Digitally excluded
-1.396779372021739,-0.380367624478941,0,Digitally excluded
0.4073187870612879,-1.8981021408337697,1,connected but engaged
-0.17331153374175687,1.0360450201288733,1,connected but engaged
1.1728725098474575,-0.2339314905261371,1,connected but engaged
0.4272862828578591,2.2312429011145665,1,connected but engaged
4.617434591335432,0.038605028361978364,2,advanced adopters
-0.18365017523405924,-1.4123934176452364,1,connected but engaged
4.28884002860008,0.6066846653877905,2,advanced adopters
-2.454338320062473,-0.6963633892008604,0,Digitally excluded
1.2432821552998299,0.23803166522456148,1,connected but engaged
0.21504623006638013,1.4325137414408897,1,connected but engaged
-2.708899486870421,-0.1930055211697169,0,Digitally excluded
0.015194765394124999,-1.462255980885751,1,connected but engaged
-2.147564295601626,1.2951893894139443,0,Digitally excluded
-1.7321990730621963,-0.8472121893844872,0,Digitally excluded
-2.689561466605411,0.7611910152828437,0,Digitally excluded
3.5359945923105647,-0.6182918416799935,2,advanced adopters
0.1798191091282067,-0.2764268765101694,1,connected but engaged
1.5093745292705514,0.9241280679136529,1,connected but engaged
-2.3243225159206466,1.5089294326639417,0,Digitally excluded
-2.5163763334175444,-0.9837234052870654,0,Digitally excluded
-1.128005014726353,-1.4776655462964325,0,Digitally excluded
-2.1888731950381195,0.4870022532904975,0,Digitally excluded
